ticker,founding_year,num_rounds,last_round_type,total_funding_usd,has_crunchbase,source
COYA,2020.0,1.0,Series A,13250000.0,0,edgar_s1
LIPO,2005.0,1.0,Series A,,0,edgar_s1
RAYA,2019.0,,,,0,edgar_s1
ACRV,2018.0,1.0,Series B,10300000.0,0,edgar_s1
ATAT,,,,,0,edgar_s1
ASPI,2021.0,,,,0,edgar_s1
SNAL,,,,,0,edgar_s1
MBLY,,,,,0,edgar_s1
PRME,2019.0,2.0,Series B,300000.0,0,edgar_s1
DMYY,,,,130000000.0,0,edgar_s1
LASE,,,,,0,edgar_s1
NXL,,,,,0,edgar_s1
WLDS,,,,,0,edgar_s1
BIAF,,2.0,Series B,,0,edgar_s1
SHPH,,,,,0,edgar_s1
JFBR,,,,4500000.0,0,edgar_s1
JZ,,,,,0,edgar_s1
ONFO,,1.0,Series A,292000000.0,0,edgar_s1
MOB,,,,,0,edgar_s1
GCT,,5.0,Series E,1200000.0,0,edgar_s1
LUCY,,,,,0,edgar_s1
REBN,2015.0,,,50000000.0,0,edgar_s1
TGL,,,,,0,edgar_s1
MEGL,,,,,0,edgar_s1
MGAM,,,,,0,edgar_s1
MAIA,,,,,0,edgar_s1
VRAX,,2.0,Series B,,0,edgar_s1
HKD,2019.0,,,,0,edgar_s1
ILAG,2017.0,,,,0,edgar_s1
IE,,,,,0,edgar_s1
GSUN,,,,,0,edgar_s1
HSCS,2007.0,3.0,Series C,,0,edgar_s1
SVRE,,,,50000000.0,0,edgar_s1
TOP,,,,,0,edgar_s1
BNRG,,,,,0,edgar_s1
GV,2012.0,,,6400000.0,0,edgar_s1
OKYO,,,,,0,edgar_s1
ACDC,,,,,0,edgar_s1
ASNS,1998.0,,,,0,edgar_s1
HNVR,2009.0,,,26700000.0,0,edgar_s1
BLCO,2022.0,,,,0,edgar_s1
PEPG,2018.0,2.0,Series B,163700000.0,0,edgar_s1
AUST,2020.0,,,,0,edgar_s1
BLTE,,2.0,Series B,,0,edgar_s1
OST,2010.0,,,,0,edgar_s1
TNON,,2.0,Series B,,0,edgar_s1
JCSE,,,,,0,edgar_s1
STSS,,,,,0,edgar_s1
EE,2016.0,,,,0,edgar_s1
GNS,,,,625000000.0,0,edgar_s1
XPON,,,,,0,edgar_s1
RVSN,,,,,0,edgar_s1
