ticker,open_day_price,first_day_pop,return_1d,return_30d,return_90d,return_180d
SERA,11.899999618530273,8.7541,-0.0756,-0.1639,-0.0924,-0.6815
SGHT,33.5,2.5312,-0.0239,0.0173,-0.3976,-0.6549
IINN,4.75,1.9687,0.0947,-0.2779,-0.3516,-0.4547
UNCY,58.5,82.5714,-0.3504,-0.5521,-0.5368,-0.7692
RNAZ,3910368.0,46650.9685,0.2193,-0.4858,-0.4367,-0.535
SNTG,174.4499969482422,30.7182,0.0032,-0.8722,-0.9412,-0.9696
MITQ,24.0,4.6471,-0.3354,-0.8758,-0.8633,-0.9483
ABOS,20.100000381469727,24.443,0.009,-0.2453,-0.2746,-0.6811
WAVE,10.850000381469727,-0.973,0.7318,-0.2433,-0.2986,-0.5484
CPOP,303.0,59.6,0.9769,-0.8512,-0.9066,-0.9531
CVRX,28.0,310.1111,-0.0689,-0.2807,-0.3357,-0.7746
DIDIY,14.140000343322754,1413999.0343,0.1598,-0.3769,-0.4257,-0.819
INTA,28.0,2.1638,-0.0214,0.15,0.0711,-0.1254
LZ,37.849998474121094,3.2385,0.0172,-0.0753,-0.3345,-0.6132
S,42.5,10.2732,-0.0579,0.1689,0.5744,-0.1136
XMTR,87.38999938964844,24.4781,-0.2536,-0.0822,-0.4543,-0.5475
YOU,35.48819351196289,3548818.3512,0.198,0.3178,0.2427,-0.465
ACXP,157.8000030517578,10.1836,-0.2091,-0.3904,-0.3181,-0.5285
GHRS,19.25,2.9047,0.0182,-0.0421,0.2239,-0.1694
MCW,20.299999237060547,0.3533,0.1034,-0.001,-0.1005,-0.2833
TKNO,25.0,19.1613,0.1192,-0.1512,-0.0812,-0.3952
CFLT,45.02000045776367,7.337,0.0251,-0.0144,0.5746,-0.3096
DOCS,53.0,8.4812,0.0562,-0.0121,0.3911,-0.1243
GLUE,21.18000030517578,36.1579,-0.1095,0.4481,0.1327,-0.3258
CXM,17.600000381469727,2.045,0.1159,0.058,0.0966,-0.3045
ATAI,19.450000762939453,-0.1656,0.0226,-0.1959,-0.2936,-0.7445
FEMY,12.0,13.1176,-0.0958,-0.3533,-0.405,-0.825
IPSC,22.829999923706055,30.274,0.1007,0.2803,-0.0815,-0.3951
LYEL,337.79998779296875,85.1735,-0.0409,-0.1415,-0.1445,-0.614
MOLN,19.649999618530273,-0.9719,0.0056,0.0094,0.0025,0.2519
ALZN,18225.0,14579.0,-0.2333,-0.6133,-0.8385,-0.9119
JANX,25.149999618530273,6.1045,-0.1984,0.1296,-0.1447,-0.3129
DIBS,28.5,13.9215,-0.154,-0.2225,-0.4898,-0.6228
MNDY,178.8699951171875,177.87,0.0584,0.1457,1.0065,-0.1321
ZETA,8.890000343322754,2.1084,-0.0697,-0.3015,-0.0832,0.3971
MQ,30.520000457763672,9.4521,-0.0203,-0.1222,-0.2625,-0.6714
CNTA,21.75,20.75,0.0841,0.0234,-0.3172,-0.5674
DAWN,23.5,2.4866,0.0081,-0.1094,-0.1123,-0.4004
FLYW,35.099998474121094,2.9527,-0.051,-0.0162,0.2783,-0.1299
PAY,28.610000610351562,0.2237,-0.0213,0.2429,-0.166,0.0384
ZIP,21.100000381469727,1.545,-0.0118,0.1526,0.2597,0.0559
PCOR,88.0,6.9782,0.007,0.0876,0.0002,-0.2886
JZXN,174283.203125,27884.3125,-0.4656,-0.5795,-0.8668,-0.9157
EJH,270000000.0,59999999.0,-0.237,-0.4539,-0.9485,-0.9852
GLBE,25.5,2549.0,0.0,1.2518,1.7498,0.2196
SMWB,21.8700008392334,1.6638,-0.0283,-0.1166,-0.043,-0.4234
ANEB,7.099999904632568,0.6845,-0.007,0.0282,-0.0246,-0.0141
FSBC,21.239179611206055,0.18,0.0037,0.1254,-0.0095,0.1898
HNST,23.0,1.1989,-0.1052,-0.2891,-0.5243,-0.7252
ALF,,,,,,
BRNS,14.100000381469727,107.4615,0.0106,0.0418,0.0667,-0.2943
HOWL,16.100000381469727,32.5417,0.0099,-0.2093,0.0975,-0.446
AVAH,11.529999732971191,10.53,0.013,0.1006,-0.1934,-0.4501
RAIN,,,,,,
TMCI,25.530000686645508,9.5062,0.1336,0.3655,-0.011,-0.3094
NPCE,24.959999084472656,0.1345,0.0192,-0.0921,-0.1583,-0.5365
PATH,69.0,984.7143,0.0942,0.0655,-0.0584,-0.4478
SKYT,17.739999771118164,16.74,0.0902,0.4769,0.5428,-0.2153
IFBD,24120.0,6029.0,-0.2139,-0.3798,-0.5456,-0.7993
BMEA,18.600000381469727,-0.6743,-0.086,-0.0694,-0.3441,-0.5995
RXRX,31.299999237060547,10.259,-0.1054,-0.1578,-0.3227,-0.4527
KRT,14.892351150512695,0.4892,-0.0237,0.0081,0.2328,0.0841
TSPH,,,,,,
ALKT,43.0,12.3127,-0.0319,-0.2051,-0.3742,-0.533
COIN,328.2799987792969,61.4106,-0.0168,-0.2643,-0.2162,-0.2305
WTO,4875000.0,48749.0,1.1069,-0.1544,-0.8241,-0.9323
COMP,20.149999618530273,-0.5559,-0.0774,-0.2978,-0.2099,-0.5087
EM,8.310224533081055,7.3102,-0.0574,-0.2728,-0.5995,-0.8478
ULCC,18.850000381469727,-0.7433,0.0149,0.0716,-0.1767,-0.3178
COUR,45.0,8.7826,0.0173,-0.2378,-0.1133,-0.4344
DSGN,,,,,,
EWTX,30.0,59.0,0.1997,-0.1017,-0.4333,-0.3433
CRCT,,,,,,
EEIQ,64.0,5.4,2.875,0.3575,-0.035,-0.1
ACVA,31.25,27.9352,-0.04,0.056,-0.2611,-0.3382
DOCN,42.5,3.0136,-0.0174,-0.0054,0.3329,1.2386
MOVE,990.0,6599.0,-0.1879,-0.1848,-0.3227,-0.5258
UPC,17100.0,13679.0,-0.1221,-0.2779,-0.5011,-0.6274
CNTB,18.489999771118164,2.4047,0.0065,-0.1179,0.1952,-0.7588
FNCH,639.5999755859375,6394.9998,-0.1018,-0.3438,-0.3405,-0.2814
TIL,528.7999877929688,479.7273,0.0136,-0.2027,-0.3623,-0.2458
GANX,,,,,,
TUYA,,,,,,
JWEL,139.36000061035156,18.9086,-0.1665,-0.0941,-0.4018,0.2216
WALD,,,,,,
HAYW,17.0,-0.919,0.0041,0.0647,0.41,0.4765
STKH,4000.0,475.1905,0.118,-0.1694,-0.32,-0.321
CPNG,49.25,24.2564,-0.0158,-0.0749,-0.2116,-0.4562
RBLX,69.5,26.2549,0.0633,0.005,0.1401,0.6528
GROY,3.4953532218933105,0.6257,0.338,0.324,0.3994,0.3855
OSCR,34.79999923706055,3.8774,-0.0784,-0.2761,-0.4408,-0.6572
CMII,,,,,,
BMBL,70.30999755859375,0.6351,0.0732,-0.1097,-0.2261,-0.2304
BVS,19.209999084472656,15.461,-0.1036,-0.2322,-0.0786,-0.2207
EPOW,5.320000171661377,0.33,-0.1241,-0.2143,-0.4812,-0.562
RAASY,,,,,,
BAOS,53.15999984741211,8.4759,-0.1433,-0.3228,-0.6129,-0.8047
BOLT,643.0,1427.8889,0.014,0.0386,-0.4902,-0.596
CNEY,4305.0,1075.25,-0.1115,-0.0871,0.0192,0.5157
EVAX,494.5,181.4723,0.0061,-0.2144,-0.315,-0.2174
IMCR,43.20000076293945,-0.5255,0.3042,0.0477,-0.1102,-0.1248
PHVS,29.0,9.9434,-0.0103,0.1393,-0.3034,-0.4741
TERN,18.389999389648438,40.7955,0.0761,0.2262,-0.1457,-0.491
VOR,750.0,4410.7647,0.1421,0.1656,-0.4432,-0.5552
